IGA: dim=3 dof=1 order=3 geometry=3 rational=0 property=0
Axis 0: basis=BSPLINE[3,2] rule=LEGENDRE[4] periodic=0 nnp=131 nel=128
Axis 1: basis=BSPLINE[3,2] rule=LEGENDRE[4] periodic=0 nnp=131 nel=128
Axis 2: basis=BSPLINE[3,2] rule=LEGENDRE[4] periodic=0 nnp=131 nel=128
Partition - MPI: processors=[8,8,8] total=512
Partition - nnp: sum=2248091 min=4096 max=6859 max/min=1.67456
Partition - nel: sum=2097152 min=4096 max=4096 max/min=1.
Elapsed time for matrix assembly: 13.174781 seconds
Elapsed time for matrix assembly: 13.190952 seconds
Elapsed time for matrix assembly: 13.192544 seconds
Elapsed time for matrix assembly: 13.193688 seconds
Elapsed time for matrix assembly: 13.192408 seconds
Elapsed time for matrix assembly: 13.192119 seconds
Elapsed time for matrix assembly: 13.194434 seconds
Elapsed time for matrix assembly: 13.194145 seconds
Elapsed time for matrix assembly: 13.194383 seconds
Elapsed time for matrix assembly: 13.195272 seconds
Elapsed time for matrix assembly: 13.194798 seconds
Elapsed time for matrix assembly: 13.194377 seconds
Elapsed time for matrix assembly: 13.193736 seconds
Elapsed time for matrix assembly: 13.195150 seconds
Elapsed time for matrix assembly: 13.194656 seconds
Elapsed time for matrix assembly: 13.195844 seconds
Elapsed time for matrix assembly: 13.196026 seconds
Elapsed time for matrix assembly: 13.196382 seconds
Elapsed time for matrix assembly: 13.196430 seconds
Elapsed time for matrix assembly: 13.196553 seconds
Elapsed time for matrix assembly: 13.196118 seconds
Elapsed time for matrix assembly: 13.196916 seconds
Elapsed time for matrix assembly: 13.214964 seconds
Elapsed time for matrix assembly: 13.214021 seconds
Elapsed time for matrix assembly: 13.215147 seconds
Elapsed time for matrix assembly: 13.215887 seconds
Elapsed time for matrix assembly: 13.216953 seconds
Elapsed time for matrix assembly: 13.216210 seconds
Elapsed time for matrix assembly: 13.215875 seconds
Elapsed time for matrix assembly: 13.216192 seconds
Elapsed time for matrix assembly: 13.217092 seconds
Elapsed time for matrix assembly: 13.215542 seconds
Elapsed time for matrix assembly: 13.216130 seconds
Elapsed time for matrix assembly: 13.217511 seconds
Elapsed time for matrix assembly: 13.216474 seconds
Elapsed time for matrix assembly: 13.217321 seconds
Elapsed time for matrix assembly: 13.217309 seconds
Elapsed time for matrix assembly: 13.215792 seconds
Elapsed time for matrix assembly: 13.217070 seconds
Elapsed time for matrix assembly: 13.216613 seconds
Elapsed time for matrix assembly: 13.217308 seconds
Elapsed time for matrix assembly: 13.216694 seconds
Elapsed time for matrix assembly: 13.217026 seconds
Elapsed time for matrix assembly: 13.216304 seconds
Elapsed time for matrix assembly: 13.216679 seconds
Elapsed time for matrix assembly: 13.214925 seconds
Elapsed time for matrix assembly: 13.217192 seconds
Elapsed time for matrix assembly: 13.215508 seconds
Elapsed time for matrix assembly: 13.215448 seconds
Elapsed time for matrix assembly: 13.218816 seconds
Elapsed time for matrix assembly: 13.216723 seconds
Elapsed time for matrix assembly: 13.217787 seconds
Elapsed time for matrix assembly: 13.217013 seconds
Elapsed time for matrix assembly: 13.215843 seconds
Elapsed time for matrix assembly: 13.216899 seconds
Elapsed time for matrix assembly: 13.216052 seconds
Elapsed time for matrix assembly: 13.215976 seconds
Elapsed time for matrix assembly: 13.218585 seconds
Elapsed time for matrix assembly: 13.218333 seconds
Elapsed time for matrix assembly: 13.218033 seconds
Elapsed time for matrix assembly: 13.217216 seconds
Elapsed time for matrix assembly: 13.216865 seconds
Elapsed time for matrix assembly: 13.217507 seconds
Elapsed time for matrix assembly: 13.218090 seconds
Elapsed time for matrix assembly: 13.218165 seconds
Elapsed time for matrix assembly: 13.217909 seconds
Elapsed time for matrix assembly: 13.218436 seconds
Elapsed time for matrix assembly: 13.217221 seconds
Elapsed time for matrix assembly: 13.215865 seconds
Elapsed time for matrix assembly: 13.217208 seconds
Elapsed time for matrix assembly: 13.217528 seconds
Elapsed time for matrix assembly: 13.218450 seconds
Elapsed time for matrix assembly: 13.217756 seconds
Elapsed time for matrix assembly: 13.217870 seconds
Elapsed time for matrix assembly: 13.218799 seconds
Elapsed time for matrix assembly: 13.219371 seconds
Elapsed time for matrix assembly: 13.218314 seconds
Elapsed time for matrix assembly: 13.218359 seconds
Elapsed time for matrix assembly: 13.218086 seconds
Elapsed time for matrix assembly: 13.217349 seconds
Elapsed time for matrix assembly: 13.218352 seconds
Elapsed time for matrix assembly: 13.218137 seconds
Elapsed time for matrix assembly: 13.217305 seconds
Elapsed time for matrix assembly: 13.218722 seconds
Elapsed time for matrix assembly: 13.218139 seconds
Elapsed time for matrix assembly: 13.218189 seconds
Elapsed time for matrix assembly: 13.218793 seconds
Elapsed time for matrix assembly: 13.218981 seconds
Elapsed time for matrix assembly: 13.218928 seconds
Elapsed time for matrix assembly: 13.218339 seconds
Elapsed time for matrix assembly: 13.218098 seconds
Elapsed time for matrix assembly: 13.219281 seconds
Elapsed time for matrix assembly: 13.219595 seconds
Elapsed time for matrix assembly: 13.218267 seconds
Elapsed time for matrix assembly: 13.217448 seconds
Elapsed time for matrix assembly: 13.219753 seconds
Elapsed time for matrix assembly: 13.218844 seconds
Elapsed time for matrix assembly: 13.218079 seconds
Elapsed time for matrix assembly: 13.218714 seconds
Elapsed time for matrix assembly: 13.218602 seconds
Elapsed time for matrix assembly: 13.219764 seconds
Elapsed time for matrix assembly: 13.219283 seconds
Elapsed time for matrix assembly: 13.217528 seconds
Elapsed time for matrix assembly: 13.218318 seconds
Elapsed time for matrix assembly: 13.218422 seconds
